Paired evolution matrix comparison
Baseline: baseline-bdi-family-readiness-v1-20260822 (3 runs)
Candidate: candidate-bdi-family-readiness-v2-20260822 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

30 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 19/20.67; C 12/16; paired Δ med/mean -3/-4.67 (3 pairs)
  births: B med/mean 16/17.33; C 12/14.33; paired Δ med/mean -3/-3 (3 pairs)
  reproductionOffers: B med/mean 69/62.33; C 50/62; paired Δ med/mean +3/-0.33 (3 pairs)
  reproductionAcceptances: B med/mean 38/42; C 29/41; paired Δ med/mean -6/-1 (3 pairs)
  reproductionAttempts: B med/mean 80/88.67; C 61/73; paired Δ med/mean -19/-15.67 (3 pairs)
  reproductionConceptions: B med/mean 16/17.33; C 12/15; paired Δ med/mean -3/-2.33 (3 pairs)
  deaths: B med/mean 3/3.33; C 5/5; paired Δ med/mean +2/+1.67 (3 pairs)
  childDeaths: B med/mean 0/1.67; C 3/3; paired Δ med/mean +2/+1.33 (3 pairs)
  relationshipProposalOffers: B med/mean 143/148; C 104/153.67; paired Δ med/mean -35/+5.67 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 143/148; C 104/153; paired Δ med/mean -36/+5 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 1/0.67; paired Δ med/mean +1/+0.67 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 40/39.33; C 28/39.33; paired Δ med/mean -10/0 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 8/9; C 7/8; paired Δ med/mean -1/-1 (3 pairs)
  childExposureDeaths: B med/mean 0/1.67; C 2/1.67; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLifeReviewDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewPersonMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 788/916.67; C 534/464; paired Δ med/mean -87/-452.67 (3 pairs)
  interruptLifeReviewChildren: B med/mean 0/0.33; C 1/1.33; paired Δ med/mean +1/+1 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 191/207.67; C 83/62; paired Δ med/mean -101/-145.67 (3 pairs)
  interruptFulfillmentChildren: B med/mean 1/1; C 1/1; paired Δ med/mean -1/0 (3 pairs)
  interruptChildrenCompleted: B med/mean 626/743.33; C 325/312.33; paired Δ med/mean -301/-431 (3 pairs)
  interruptChildrenBlocked: B med/mean 162/173.33; C 69/151.67; paired Δ med/mean -55/-21.67 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 788/916.67; C 534/464; paired Δ med/mean -87/-452.67 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 1/0.67; C 1/0.67; paired Δ med/mean 0/0 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 766/846.67; C 315/336.67; paired Δ med/mean -94/-510 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 30/70; C 134/127.33; paired Δ med/mean +61/+57.33 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 5341/5143.67; C 3453/3719.33; paired Δ med/mean -1211/-1424.33 (3 pairs)
  actionPersonMonths: B med/mean 2297/2127.33; C 1290/1573; paired Δ med/mean -478/-554.33 (3 pairs)
  projectActionPersonMonths: B med/mean 498/457.33; C 198/236; paired Δ med/mean -223/-221.33 (3 pairs)
  projectActionMonthShare: B med/mean 21.68/21.24; C 15.35/14.92; paired Δ med/mean -6.33/-6.31 (3 pairs)
  ruleDecisions: B med/mean 3934/3672.67; C 2136/2519; paired Δ med/mean -420/-1153.67 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 50.93/51.16; C 46.92/48.26; paired Δ med/mean -4.01/-2.9 (3 pairs)
  strategicIntents: B med/mean 1950/1850; C 1137/1167.67; paired Δ med/mean -438/-682.33 (3 pairs)
  socialIntents: B med/mean 1962/1781; C 974/1288.33; paired Δ med/mean -216/-492.67 (3 pairs)
  communications: B med/mean 777/805.33; C 547/785; paired Δ med/mean -241/-20.33 (3 pairs)
  survivalReflexActions: B med/mean 4305/3859; C 3212/3334.33; paired Δ med/mean +58/-524.67 (3 pairs)
  projectsStarted: B med/mean 113/119.33; C 68/71.33; paired Δ med/mean -53/-48 (3 pairs)
  projectsCompleted: B med/mean 48/56; C 37/34.67; paired Δ med/mean -19/-21.33 (3 pairs)
  projectsBlocked: B med/mean 54/54.33; C 30/32.67; paired Δ med/mean -23/-21.67 (3 pairs)
  projectPressureBasisProjects: B med/mean 113/119.33; C 68/71.33; paired Δ med/mean -53/-48 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 2827/2911.33; C 914/1353.33; paired Δ med/mean -1588/-1558 (3 pairs)
  projectsWithPressureUpdates: B med/mean 104/109.33; C 60/63.67; paired Δ med/mean -50/-45.67 (3 pairs)
  projectPressureUpdates: B med/mean 2714/2792; C 846/1282; paired Δ med/mean -1523/-1510 (3 pairs)
  projectPressureIncreases: B med/mean 659/678.67; C 189/225.67; paired Δ med/mean -545/-453 (3 pairs)
