Paired evolution matrix comparison
Baseline: baseline-bdi-family-readiness-v1-20260822 (3 runs)
Candidate: candidate-bdi-family-readiness-v3-20260822 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

30 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 19/20.67; C 19/19.67; paired Δ med/mean 0/-1 (3 pairs)
  births: B med/mean 16/17.33; C 17/16; paired Δ med/mean -2/-1.33 (3 pairs)
  reproductionOffers: B med/mean 69/62.33; C 63/62.33; paired Δ med/mean -4/0 (3 pairs)
  reproductionAcceptances: B med/mean 38/42; C 43/43; paired Δ med/mean -1/+1 (3 pairs)
  reproductionAttempts: B med/mean 80/88.67; C 82/78.33; paired Δ med/mean -20/-10.33 (3 pairs)
  reproductionConceptions: B med/mean 16/17.33; C 17/16.33; paired Δ med/mean -1/-1 (3 pairs)
  deaths: B med/mean 3/3.33; C 2/3; paired Δ med/mean -1/-0.33 (3 pairs)
  childDeaths: B med/mean 0/1.67; C 1/1.67; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffers: B med/mean 143/148; C 134/139; paired Δ med/mean -5/-9 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 143/148; C 134/139; paired Δ med/mean -5/-9 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 40/39.33; C 31/33.67; paired Δ med/mean -9/-5.67 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 8/9; C 10/9.67; paired Δ med/mean 0/+0.67 (3 pairs)
  childExposureDeaths: B med/mean 0/1.67; C 1/1.33; paired Δ med/mean 0/-0.33 (3 pairs)
  lifeReviewDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLifeReviewDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewPersonMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 788/916.67; C 432/634.67; paired Δ med/mean -356/-282 (3 pairs)
  interruptLifeReviewChildren: B med/mean 0/0.33; C 0/0.67; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 191/207.67; C 95/96.67; paired Δ med/mean -100/-111 (3 pairs)
  interruptFulfillmentChildren: B med/mean 1/1; C 0/0.67; paired Δ med/mean -1/-0.33 (3 pairs)
  interruptChildrenCompleted: B med/mean 626/743.33; C 368/559; paired Δ med/mean -258/-184.33 (3 pairs)
  interruptChildrenBlocked: B med/mean 162/173.33; C 75/75; paired Δ med/mean -100/-98.33 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptReturnsResumed: B med/mean 788/916.67; C 431/634.33; paired Δ med/mean -357/-282.33 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0.02; paired Δ med/mean 0/+0.02 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 1/0.67; C 0/6; paired Δ med/mean 0/+5.33 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 766/846.67; C 226/496.33; paired Δ med/mean -540/-350.33 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 30/70; C 163/138; paired Δ med/mean +133/+68 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 5341/5143.67; C 4493/4533.33; paired Δ med/mean -699/-610.33 (3 pairs)
  actionPersonMonths: B med/mean 2297/2127.33; C 1895/1849.67; paired Δ med/mean -237/-277.67 (3 pairs)
  projectActionPersonMonths: B med/mean 498/457.33; C 321/341.67; paired Δ med/mean -158/-115.67 (3 pairs)
  projectActionMonthShare: B med/mean 21.68/21.24; C 18.92/18.57; paired Δ med/mean -4.88/-2.67 (3 pairs)
  ruleDecisions: B med/mean 3934/3672.67; C 3319/3274; paired Δ med/mean -563/-398.67 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 50.93/51.16; C 39.42/44.08; paired Δ med/mean -10.43/-7.08 (3 pairs)
  strategicIntents: B med/mean 1950/1850; C 1289/1417.67; paired Δ med/mean -661/-432.33 (3 pairs)
  socialIntents: B med/mean 1962/1781; C 1943/1794; paired Δ med/mean +19/+13 (3 pairs)
  communications: B med/mean 777/805.33; C 930/841; paired Δ med/mean -41/+35.67 (3 pairs)
  survivalReflexActions: B med/mean 4305/3859; C 2949/3419.67; paired Δ med/mean -201/-439.33 (3 pairs)
  projectsStarted: B med/mean 113/119.33; C 92/96.33; paired Δ med/mean -32/-23 (3 pairs)
  projectsCompleted: B med/mean 48/56; C 46/48; paired Δ med/mean -13/-8 (3 pairs)
  projectsBlocked: B med/mean 54/54.33; C 42/43; paired Δ med/mean -11/-11.33 (3 pairs)
  projectPressureBasisProjects: B med/mean 113/119.33; C 92/96.33; paired Δ med/mean -32/-23 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 2827/2911.33; C 1762/1887.67; paired Δ med/mean -1376/-1023.67 (3 pairs)
  projectsWithPressureUpdates: B med/mean 104/109.33; C 81/85.67; paired Δ med/mean -31/-23.67 (3 pairs)
  projectPressureUpdates: B med/mean 2714/2792; C 1670/1791.33; paired Δ med/mean -1341/-1000.67 (3 pairs)
  projectPressureIncreases: B med/mean 659/678.67; C 444/431; paired Δ med/mean -366/-247.67 (3 pairs)
  projectPressureDecreases: B med/mean 766/761.67; C 478/488.33; paired Δ med/mean -373/-273.33 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 1289/1351.67; C 748/872; paired Δ med/mean -551/-479.67 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 12/15; C 12/9; paired Δ med/mean -11/-6 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 6/7.33; C 3/3.33; paired Δ med/mean -4/-4 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 25/22.33; C 19/16; paired Δ med/mean +1/-6.33 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEvidenceCount: B med/mean 2401/2184.33; C 1591/1617; paired Δ med/mean -703/-567.33 (3 pairs)
  projectProgressProjects: B med/mean 108/111; C 90/92.67; paired Δ med/mean -29/-18.33 (3 pairs)
