Paired evolution matrix comparison
Baseline: baseline-bdi-family-readiness-v1-20260822 (3 runs)
Candidate: candidate-bdi-family-readiness-v4-20260822 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

30 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 19/20.67; C 17/16.33; paired Δ med/mean -6/-4.33 (3 pairs)
  births: B med/mean 16/17.33; C 13/12.33; paired Δ med/mean -5/-5 (3 pairs)
  reproductionOffers: B med/mean 69/62.33; C 58/53.67; paired Δ med/mean -11/-8.67 (3 pairs)
  reproductionAcceptances: B med/mean 38/42; C 41/40; paired Δ med/mean -4/-2 (3 pairs)
  reproductionAttempts: B med/mean 80/88.67; C 58/64.33; paired Δ med/mean -22/-24.33 (3 pairs)
  reproductionConceptions: B med/mean 16/17.33; C 13/12.33; paired Δ med/mean -5/-5 (3 pairs)
  deaths: B med/mean 3/3.33; C 3/2.67; paired Δ med/mean +1/-0.67 (3 pairs)
  childDeaths: B med/mean 0/1.67; C 1/1.33; paired Δ med/mean 0/-0.33 (3 pairs)
  relationshipProposalOffers: B med/mean 143/148; C 111/110.33; paired Δ med/mean -51/-37.67 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 143/148; C 109/109.67; paired Δ med/mean -53/-38.33 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0.67; paired Δ med/mean 0/+0.67 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 40/39.33; C 24/25.67; paired Δ med/mean -14/-13.67 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 8/9; C 8/9.33; paired Δ med/mean 0/+0.33 (3 pairs)
  childExposureDeaths: B med/mean 0/1.67; C 1/0.67; paired Δ med/mean 0/-1 (3 pairs)
  lifeReviewDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLifeReviewDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewPersonMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 788/916.67; C 854/767.67; paired Δ med/mean +304/-149 (3 pairs)
  interruptLifeReviewChildren: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 191/207.67; C 105/87.67; paired Δ med/mean -59/-120 (3 pairs)
  interruptFulfillmentChildren: B med/mean 1/1; C 1/2; paired Δ med/mean -1/+1 (3 pairs)
  interruptChildrenCompleted: B med/mean 626/743.33; C 767/699; paired Δ med/mean +341/-44.33 (3 pairs)
  interruptChildrenBlocked: B med/mean 162/173.33; C 87/68.67; paired Δ med/mean -60/-104.67 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 788/916.67; C 854/767.67; paired Δ med/mean +304/-149 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 1/0.67; C 0/0; paired Δ med/mean -1/-0.67 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 766/846.67; C 816/618.67; paired Δ med/mean +213/-228 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 30/70; C 38/149; paired Δ med/mean -20/+79 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 5341/5143.67; C 4469/4618.33; paired Δ med/mean -352/-525.33 (3 pairs)
  actionPersonMonths: B med/mean 2297/2127.33; C 1756/1740; paired Δ med/mean -368/-387.33 (3 pairs)
  projectActionPersonMonths: B med/mean 498/457.33; C 285/318.67; paired Δ med/mean -111/-138.67 (3 pairs)
  projectActionMonthShare: B med/mean 21.68/21.24; C 18.84/18.18; paired Δ med/mean -1.2/-3.06 (3 pairs)
  ruleDecisions: B med/mean 3934/3672.67; C 2712/3013.33; paired Δ med/mean -103/-659.33 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 50.93/51.16; C 58.85/51.21; paired Δ med/mean +6.15/+0.05 (3 pairs)
  strategicIntents: B med/mean 1950/1850; C 1540/1560.67; paired Δ med/mean +214/-289.33 (3 pairs)
  socialIntents: B med/mean 1962/1781; C 1514/1405.33; paired Δ med/mean -448/-375.67 (3 pairs)
  communications: B med/mean 777/805.33; C 692/608.67; paired Δ med/mean -224/-196.67 (3 pairs)
  survivalReflexActions: B med/mean 4305/3859; C 2900/3410.33; paired Δ med/mean -58/-448.67 (3 pairs)
  projectsStarted: B med/mean 113/119.33; C 86/91.33; paired Δ med/mean -33/-28 (3 pairs)
  projectsCompleted: B med/mean 48/56; C 44/44.33; paired Δ med/mean -16/-11.67 (3 pairs)
  projectsBlocked: B med/mean 54/54.33; C 40/43.33; paired Δ med/mean -13/-11 (3 pairs)
  projectPressureBasisProjects: B med/mean 113/119.33; C 86/91.33; paired Δ med/mean -33/-28 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 2827/2911.33; C 1489/1670; paired Δ med/mean -1493/-1241.33 (3 pairs)
  projectsWithPressureUpdates: B med/mean 104/109.33; C 73/81; paired Δ med/mean -31/-28.33 (3 pairs)
  projectPressureUpdates: B med/mean 2714/2792; C 1403/1578.67; paired Δ med/mean -1450/-1213.33 (3 pairs)
  projectPressureIncreases: B med/mean 659/678.67; C 314/316.67; paired Δ med/mean -376/-362 (3 pairs)
  projectPressureDecreases: B med/mean 766/761.67; C 371/382; paired Δ med/mean -439/-379.67 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 1289/1351.67; C 718/880; paired Δ med/mean -483/-471.67 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 12/15; C 6/5; paired Δ med/mean -12/-10 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 6/7.33; C 9/7.33; paired Δ med/mean +3/0 (3 pairs)
