Paired evolution matrix comparison
Baseline: baseline-bdi-family-readiness-v1-20260822 (3 runs)
Candidate: candidate-bdi-family-readiness-v8-20260822 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

30 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 19/20.67; C 7/6.67; paired Δ med/mean -15/-14 (3 pairs)
  births: B med/mean 16/17.33; C 0/1.33; paired Δ med/mean -16/-16 (3 pairs)
  reproductionOffers: B med/mean 69/62.33; C 3/9.67; paired Δ med/mean -45/-52.67 (3 pairs)
  reproductionAcceptances: B med/mean 38/42; C 0/6; paired Δ med/mean -35/-36 (3 pairs)
  reproductionAttempts: B med/mean 80/88.67; C 0/6.67; paired Δ med/mean -80/-82 (3 pairs)
  reproductionConceptions: B med/mean 16/17.33; C 0/1.33; paired Δ med/mean -16/-16 (3 pairs)
  deaths: B med/mean 3/3.33; C 2/1.33; paired Δ med/mean -1/-2 (3 pairs)
  childDeaths: B med/mean 0/1.67; C 0/0; paired Δ med/mean 0/-1.67 (3 pairs)
  relationshipProposalOffers: B med/mean 143/148; C 79/65.33; paired Δ med/mean -60/-82.67 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 143/148; C 79/65.33; paired Δ med/mean -60/-82.67 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 40/39.33; C 23/16.33; paired Δ med/mean -17/-23 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 8/9; C 7/6.67; paired Δ med/mean 0/-2.33 (3 pairs)
  childExposureDeaths: B med/mean 0/1.67; C 0/0; paired Δ med/mean 0/-1.67 (3 pairs)
  lifeReviewDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLifeReviewDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewPersonMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 788/916.67; C 390/607.33; paired Δ med/mean -549/-309.33 (3 pairs)
  interruptLifeReviewChildren: B med/mean 0/0.33; C 0/0.67; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 191/207.67; C 131/147; paired Δ med/mean -60/-60.67 (3 pairs)
  interruptFulfillmentChildren: B med/mean 1/1; C 1/1; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenCompleted: B med/mean 626/743.33; C 288/484.67; paired Δ med/mean -490/-258.67 (3 pairs)
  interruptChildrenBlocked: B med/mean 162/173.33; C 103/122.67; paired Δ med/mean -59/-50.67 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 788/916.67; C 390/607.33; paired Δ med/mean -549/-309.33 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 1/0.67; C 0/0.33; paired Δ med/mean -1/-0.33 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 766/846.67; C 250/552; paired Δ med/mean -538/-294.67 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 30/70; C 15/55.33; paired Δ med/mean -11/-14.67 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 5341/5143.67; C 3162/2973.33; paired Δ med/mean -1730/-2170.33 (3 pairs)
  actionPersonMonths: B med/mean 2297/2127.33; C 1363/1221; paired Δ med/mean -956/-906.33 (3 pairs)
  projectActionPersonMonths: B med/mean 498/457.33; C 286/255.33; paired Δ med/mean -266/-202 (3 pairs)
  projectActionMonthShare: B med/mean 21.68/21.24; C 20.98/21.23; paired Δ med/mean +1.36/0 (3 pairs)
  ruleDecisions: B med/mean 3934/3672.67; C 2794/2596.67; paired Δ med/mean -1140/-1076 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 50.93/51.16; C 45.7/38.84; paired Δ med/mean -7/-12.32 (3 pairs)
  strategicIntents: B med/mean 1950/1850; C 693/965; paired Δ med/mean -1321/-885 (3 pairs)
  socialIntents: B med/mean 1962/1781; C 1869/1559; paired Δ med/mean +70/-222 (3 pairs)
  communications: B med/mean 777/805.33; C 772/621; paired Δ med/mean +61/-184.33 (3 pairs)
