Paired evolution matrix comparison
Baseline: candidate-causal-cultivation-v4 (6 runs)
Candidate: candidate-anchored-local-capability-v6 (6 runs)
Matched by seed+years+repeat: 6; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 9/8.67; C 6/6; paired Δ med/mean -3/-2.67 (3 pairs)
  births: B med/mean 2/2; C 1/0.67; paired Δ med/mean -1/-1.33 (3 pairs)
  reproductionOffers: B med/mean 14/13; C 5/8.67; paired Δ med/mean -12/-4.33 (3 pairs)
  reproductionAcceptances: B med/mean 6/7; C 2/6.33; paired Δ med/mean -4/-0.67 (3 pairs)
  reproductionAttempts: B med/mean 6/8; C 3/8.67; paired Δ med/mean -3/+0.67 (3 pairs)
  reproductionConceptions: B med/mean 2/2; C 1/0.67; paired Δ med/mean -1/-1.33 (3 pairs)
  deaths: B med/mean 0/0; C 2/1.33; paired Δ med/mean +2/+1.33 (3 pairs)
  childDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffers: B med/mean 52/51.67; C 44/38.33; paired Δ med/mean -19/-13.33 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 52/51.67; C 44/37.67; paired Δ med/mean -19/-14 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0.67; paired Δ med/mean 0/+0.67 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 12/13; C 9/7.33; paired Δ med/mean -6/-5.67 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 4/4.33; C 4/3.67; paired Δ med/mean 0/-0.67 (3 pairs)
  childExposureDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewDecisions: B med/mean 2/2; C 4/3.67; paired Δ med/mean +2/+1.67 (3 pairs)
  projectLifeReviewDecisions: B med/mean 2/2; C 4/3.67; paired Δ med/mean +2/+1.67 (3 pairs)
  lifeReviewPersonMonths: B med/mean 2/2; C 4/3.67; paired Δ med/mean +2/+1.67 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 2/2; C 4/3.67; paired Δ med/mean +2/+1.67 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
