Paired evolution matrix comparison
Baseline: candidate-causal-cultivation-v4 (6 runs)
Candidate: candidate-causal-local-capability-v7 (6 runs)
Matched by seed+years+repeat: 6; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 9/8.67; C 9/9; paired Δ med/mean 0/+0.33 (3 pairs)
  births: B med/mean 2/2; C 2/2.33; paired Δ med/mean 0/+0.33 (3 pairs)
  reproductionOffers: B med/mean 14/13; C 20/17.67; paired Δ med/mean +6/+4.67 (3 pairs)
  reproductionAcceptances: B med/mean 6/7; C 10/8.67; paired Δ med/mean +2/+1.67 (3 pairs)
  reproductionAttempts: B med/mean 6/8; C 10/10; paired Δ med/mean 0/+2 (3 pairs)
  reproductionConceptions: B med/mean 2/2; C 2/2.33; paired Δ med/mean 0/+0.33 (3 pairs)
  deaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  childDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffers: B med/mean 52/51.67; C 52/52; paired Δ med/mean 0/+0.33 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 52/51.67; C 52/51.67; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 12/13; C 12/12.67; paired Δ med/mean 0/-0.33 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 4/4.33; C 5/5; paired Δ med/mean +1/+0.67 (3 pairs)
  childExposureDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewDecisions: B med/mean 2/2; C 2/2.33; paired Δ med/mean 0/+0.33 (3 pairs)
