Paired evolution matrix comparison
Baseline: granary-controlled-baseline-v3-20260820 (3 runs)
Candidate: granary-controlled-candidate-v4-20260820 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 10/9.33; C 10/9.33; paired Δ med/mean 0/0 (3 pairs)
  births: B med/mean 3/3.33; C 4/3.67; paired Δ med/mean 0/+0.33 (3 pairs)
  reproductionOffers: B med/mean 17/15; C 16/17.33; paired Δ med/mean 0/+2.33 (3 pairs)
  reproductionAcceptances: B med/mean 4/6.33; C 6/7.33; paired Δ med/mean +1/+1 (3 pairs)
  reproductionAttempts: B med/mean 6/10.33; C 11/12.33; paired Δ med/mean +1/+2 (3 pairs)
  reproductionConceptions: B med/mean 3/3.33; C 4/3.67; paired Δ med/mean 0/+0.33 (3 pairs)
  deaths: B med/mean 0/0.67; C 0/1; paired Δ med/mean 0/+0.33 (3 pairs)
  childDeaths: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  relationshipProposalOffers: B med/mean 41/42.33; C 46/46.67; paired Δ med/mean +5/+4.33 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 41/41.67; C 46/46; paired Δ med/mean +5/+4.33 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0.67; C 0/0.67; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 11/12.33; C 11/13; paired Δ med/mean 0/+0.67 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 4/4; C 5/5; paired Δ med/mean 0/+1 (3 pairs)
  childExposureDeaths: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  lifeReviewDecisions: B med/mean 2/1.67; C 1/1.33; paired Δ med/mean 0/-0.33 (3 pairs)
  projectLifeReviewDecisions: B med/mean 2/1.67; C 1/1.33; paired Δ med/mean 0/-0.33 (3 pairs)
  lifeReviewPersonMonths: B med/mean 2/1.67; C 1/1.33; paired Δ med/mean 0/-0.33 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 2/1.67; C 1/1.33; paired Δ med/mean 0/-0.33 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 376/292; C 389/378.67; paired Δ med/mean 0/+86.67 (3 pairs)
  interruptLifeReviewChildren: B med/mean 2/1.67; C 1/1.33; paired Δ med/mean 0/-0.33 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 43/43.67; C 30/44; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptFulfillmentChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenCompleted: B med/mean 324/252.67; C 376/339.67; paired Δ med/mean 0/+87 (3 pairs)
  interruptChildrenBlocked: B med/mean 39/39.33; C 27/39; paired Δ med/mean 0/-0.33 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 376/292; C 389/378.67; paired Δ med/mean 0/+86.67 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 151/211.33; C 295/217.33; paired Δ med/mean 0/+6 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 17/80.67; C 91/161.33; paired Δ med/mean +91/+80.67 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 1177/1173.33; C 1122/1096.33; paired Δ med/mean 0/-77 (3 pairs)
  actionPersonMonths: B med/mean 557/560.67; C 562/553; paired Δ med/mean +1/-7.67 (3 pairs)
  projectActionPersonMonths: B med/mean 78/83.67; C 63/63.67; paired Δ med/mean -10/-20 (3 pairs)
  projectActionMonthShare: B med/mean 13.71/14.94; C 11.21/11.46; paired Δ med/mean -1.9/-3.48 (3 pairs)
  ruleDecisions: B med/mean 1717/1759; C 1976/1974.67; paired Δ med/mean +259/+215.67 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
