Paired evolution matrix comparison
Baseline: info-age-v1b-hibernation-entry-consistency-20260820 (15 runs)
Candidate: info-age-v1c-search-campaign-budget-20260820 (15 runs)
Matched by seed+years+repeat: 15; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 10/9.67; C 9/9.33; paired Δ med/mean 0/-0.33 (3 pairs)
  births: B med/mean 3/3; C 3/2.67; paired Δ med/mean 0/-0.33 (3 pairs)
  reproductionOffers: B med/mean 16/17.67; C 21/19.67; paired Δ med/mean +1/+2 (3 pairs)
  reproductionAcceptances: B med/mean 7/10; C 10/11.33; paired Δ med/mean +1/+1.33 (3 pairs)
  reproductionAttempts: B med/mean 15/21.33; C 28/26; paired Δ med/mean 0/+4.67 (3 pairs)
  reproductionConceptions: B med/mean 3/3; C 3/2.67; paired Δ med/mean 0/-0.33 (3 pairs)
  deaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  childDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffers: B med/mean 48/46.33; C 51/48; paired Δ med/mean +2/+1.67 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 48/46.33; C 51/48; paired Δ med/mean +2/+1.67 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 13/13.33; C 14/13.67; paired Δ med/mean 0/+0.33 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 5/4.67; C 5/4.67; paired Δ med/mean 0/0 (3 pairs)
  childExposureDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewDecisions: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  projectLifeReviewDecisions: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewPersonMonths: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 120/175; C 49/84; paired Δ med/mean -95/-91 (3 pairs)
  interruptLifeReviewChildren: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 32/26.67; C 32/26.67; paired Δ med/mean 0/0 (3 pairs)
  interruptFulfillmentChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenCompleted: B med/mean 120/152.67; C 25/61.67; paired Δ med/mean -95/-91 (3 pairs)
  interruptChildrenBlocked: B med/mean 27/22.33; C 27/22.33; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 120/175; C 49/84; paired Δ med/mean -95/-91 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 74/154; C 32/77.67; paired Δ med/mean -50/-76.33 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 17/21; C 1/6.33; paired Δ med/mean 0/-14.67 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 1106/1180; C 1106/1066.33; paired Δ med/mean -142/-113.67 (3 pairs)
  actionPersonMonths: B med/mean 580/576.67; C 580/574.67; paired Δ med/mean -2/-2 (3 pairs)
  projectActionPersonMonths: B med/mean 71/71.67; C 48/53.67; paired Δ med/mean -26/-18 (3 pairs)
  projectActionMonthShare: B med/mean 11.72/12.52; C 9.25/9.39; paired Δ med/mean -4.12/-3.13 (3 pairs)
  ruleDecisions: B med/mean 1668/1735.67; C 1609/1686.67; paired Δ med/mean 0/-49 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 15.48/16.73; C 8.73/11.96; paired Δ med/mean -6.75/-4.77 (3 pairs)
  strategicIntents: B med/mean 226/275.67; C 139/185; paired Δ med/mean -87/-90.67 (3 pairs)
  socialIntents: B med/mean 1234/1443.67; C 1453/1485.33; paired Δ med/mean 0/+41.67 (3 pairs)
  communications: B med/mean 341/382.67; C 371/394.33; paired Δ med/mean +3/+11.67 (3 pairs)
  survivalReflexActions: B med/mean 516/459.33; C 361/388.33; paired Δ med/mean -58/-71 (3 pairs)
  projectsStarted: B med/mean 19/18.67; C 17/17; paired Δ med/mean -2/-1.67 (3 pairs)
  projectsCompleted: B med/mean 10/10; C 9/9.33; paired Δ med/mean -1/-0.67 (3 pairs)
  projectsBlocked: B med/mean 6/6.33; C 7/6.67; paired Δ med/mean 0/+0.33 (3 pairs)
  projectPressureBasisProjects: B med/mean 19/18.67; C 17/17; paired Δ med/mean -2/-1.67 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 335/297.67; C 234/246; paired Δ med/mean -54/-51.67 (3 pairs)
  projectsWithPressureUpdates: B med/mean 18/17; C 16/15.67; paired Δ med/mean -2/-1.33 (3 pairs)
  projectPressureUpdates: B med/mean 316/279; C 218/229; paired Δ med/mean -52/-50 (3 pairs)
  projectPressureIncreases: B med/mean 49/47.33; C 41/37.67; paired Δ med/mean -11/-9.67 (3 pairs)
  projectPressureDecreases: B med/mean 68/60.67; C 49/50; paired Δ med/mean -11/-10.67 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 197/171; C 138/141.33; paired Δ med/mean -30/-29.67 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 7/5.67; C 7/5.67; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 6/7.33; C 6/7.33; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEvidenceCount: B med/mean 573/525.33; C 335/333; paired Δ med/mean -245/-192.33 (3 pairs)
  projectProgressProjects: B med/mean 18/17.67; C 16/16; paired Δ med/mean -2/-1.67 (3 pairs)
  projectLogisticsAdvanceProgress: B med/mean 397/342; C 201/190.33; paired Δ med/mean -222/-151.67 (3 pairs)
  projectMaterialContributionProgress: B med/mean 150/183.33; C 129/142.67; paired Δ med/mean -23/-40.67 (3 pairs)
  projectProgressDuplicateEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressUnresolvedEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEpisodeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressIntentMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressNonAdvancingLogistics: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 5/4.67; C 5/4.67; paired Δ med/mean 0/0 (3 pairs)
  projectSearchCampaigns: B med/mean 6/6; C 6/6.33; paired Δ med/mean 0/+0.33 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 5/4.67; C 5/4.67; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActive: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignExhausted: B med/mean 3/2; C 3/2.67; paired Δ med/mean 0/+0.67 (3 pairs)
  searchCampaignSuperseded: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignClosed: B med/mean 4/3.33; C 3/3; paired Δ med/mean 0/-0.33 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 41/31; C 6/6.67; paired Δ med/mean -35/-24.33 (3 pairs)
  searchCampaignMaxTargets: B med/mean 39/26.67; C 2/2; paired Δ med/mean -36/-24.67 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignTargetOutsideArea: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 122/125.67; C 86/84; paired Δ med/mean -46/-41.67 (3 pairs)
  projectLogisticsFulfilled: B med/mean 119/123.33; C 85/81.67; paired Δ med/mean -47/-41.67 (3 pairs)
  projectLogisticsExhausted: B med/mean 2/1.67; C 1/1.67; paired Δ med/mean 0/0 (3 pairs)
  projectSearchEpisodes: B med/mean 41/31; C 6/6.67; paired Δ med/mean -35/-24.33 (3 pairs)
  projectDropEpisodes: B med/mean 62/72.33; C 62/60; paired Δ med/mean -9/-12.33 (3 pairs)
  projectLogisticsActionEvents: B med/mean 496/433; C 264/264.33; paired Δ med/mean -232/-168.67 (3 pairs)
  jointProjectsCompleted: B med/mean 1/1.33; C 1/1.33; paired Δ med/mean 0/0 (3 pairs)
