Paired evolution matrix comparison
Baseline: candidate-project-reopen-memory-v2-20260822 (6 runs)
Candidate: candidate-project-reopen-memory-v3-20260822 (6 runs)
Matched by seed+years+repeat: 6; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 7/7; C 7/7; paired Δ med/mean 0/0 (3 pairs)
  births: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  reproductionOffers: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  reproductionAcceptances: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  reproductionAttempts: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  reproductionConceptions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  deaths: B med/mean 0/0.67; C 0/0.67; paired Δ med/mean 0/0 (3 pairs)
  childDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffers: B med/mean 49/51.33; C 36/47.67; paired Δ med/mean 0/-3.67 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 49/51.33; C 36/47.67; paired Δ med/mean 0/-3.67 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 10/10.33; C 7/9; paired Δ med/mean -1/-1.33 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 3/3; C 3/2.67; paired Δ med/mean 0/-0.33 (3 pairs)
  childExposureDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLifeReviewDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewPersonMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 492/588.33; C 477/562.67; paired Δ med/mean -15/-25.67 (3 pairs)
  interruptLifeReviewChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 107/97.67; C 53/73; paired Δ med/mean -20/-24.67 (3 pairs)
  interruptFulfillmentChildren: B med/mean 8/9; C 7/8.67; paired Δ med/mean 0/-0.33 (3 pairs)
  interruptChildrenCompleted: B med/mean 354/507.33; C 358/503.67; paired Δ med/mean 0/-3.67 (3 pairs)
  interruptChildrenBlocked: B med/mean 89/81; C 42/59; paired Δ med/mean -19/-22 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 491/588; C 475/561.67; paired Δ med/mean -16/-26.33 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 1/0.67; paired Δ med/mean +1/+0.67 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 1/0.67; C 1/0.67; paired Δ med/mean 0/0 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 466/578; C 451/550.67; paired Δ med/mean -15/-27.33 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 4/10; C 8/11; paired Δ med/mean 0/+1 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 1165/1175.67; C 1041/1145.67; paired Δ med/mean 0/-30 (3 pairs)
  actionPersonMonths: B med/mean 533/551.33; C 499/539; paired Δ med/mean -3/-12.33 (3 pairs)
  projectActionPersonMonths: B med/mean 129/156.67; C 93/141.67; paired Δ med/mean -9/-15 (3 pairs)
  projectActionMonthShare: B med/mean 25.84/27.45; C 25.84/25.26; paired Δ med/mean -1.01/-2.19 (3 pairs)
  ruleDecisions: B med/mean 1514/1669.33; C 1514/1568.33; paired Δ med/mean -53/-101 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
