Paired evolution matrix comparison
Baseline: candidate-civ61-breaks-v1-20260822 (6 runs)
Candidate: candidate-project-reopen-memory-v3-20260822 (6 runs)
Matched by seed+years+repeat: 6; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 5/5.33; C 7/7; paired Δ med/mean +2/+1.67 (3 pairs)
  births: B med/mean 0/0.67; C 0/0; paired Δ med/mean 0/-0.67 (3 pairs)
  reproductionOffers: B med/mean 0/3; C 0/0.33; paired Δ med/mean 0/-2.67 (3 pairs)
  reproductionAcceptances: B med/mean 0/1.33; C 0/0; paired Δ med/mean 0/-1.33 (3 pairs)
  reproductionAttempts: B med/mean 0/2; C 0/0; paired Δ med/mean 0/-2 (3 pairs)
  reproductionConceptions: B med/mean 0/0.67; C 0/0; paired Δ med/mean 0/-0.67 (3 pairs)
  deaths: B med/mean 1/1.33; C 0/0.67; paired Δ med/mean -1/-0.67 (3 pairs)
  childDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffers: B med/mean 27/26.33; C 36/47.67; paired Δ med/mean +9/+21.33 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 27/26.33; C 36/47.67; paired Δ med/mean +9/+21.33 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 4/6; C 7/9; paired Δ med/mean +3/+3 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 3/3; C 3/2.67; paired Δ med/mean 0/-0.33 (3 pairs)
  childExposureDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLifeReviewDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewPersonMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 602/649.67; C 477/562.67; paired Δ med/mean -168/-87 (3 pairs)
  interruptLifeReviewChildren: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 70/83.67; C 53/73; paired Δ med/mean -9/-10.67 (3 pairs)
  interruptFulfillmentChildren: B med/mean 0/0.33; C 7/8.67; paired Δ med/mean +7/+8.33 (3 pairs)
  interruptChildrenCompleted: B med/mean 578/578.67; C 358/503.67; paired Δ med/mean -150/-75 (3 pairs)
  interruptChildrenBlocked: B med/mean 60/71; C 42/59; paired Δ med/mean -10/-12 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 602/649.67; C 475/561.67; paired Δ med/mean -169/-88 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 1/0.67; paired Δ med/mean +1/+0.67 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 0/0; C 1/0.67; paired Δ med/mean +1/+0.67 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 192/302.33; C 451/550.67; paired Δ med/mean +34/+248.33 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 291/347.33; C 8/11; paired Δ med/mean -267/-336.33 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 890/875.33; C 1041/1145.67; paired Δ med/mean +315/+270.33 (3 pairs)
  actionPersonMonths: B med/mean 406/387; C 499/539; paired Δ med/mean +104/+152 (3 pairs)
  projectActionPersonMonths: B med/mean 100/120; C 93/141.67; paired Δ med/mean +30/+21.67 (3 pairs)
  projectActionMonthShare: B med/mean 24.63/28.23; C 25.84/25.26; paired Δ med/mean -5.99/-2.96 (3 pairs)
  ruleDecisions: B med/mean 1124/1328; C 1514/1568.33; paired Δ med/mean +245/+240.33 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 57.34/56.28; C 33.12/45.62; paired Δ med/mean -13.5/-10.66 (3 pairs)
  strategicIntents: B med/mean 665/737.33; C 618/692.67; paired Δ med/mean -136/-44.67 (3 pairs)
  socialIntents: B med/mean 577/571; C 743/855.67; paired Δ med/mean +166/+284.67 (3 pairs)
  communications: B med/mean 193/194; C 240/279; paired Δ med/mean +47/+85 (3 pairs)
  survivalReflexActions: B med/mean 714/784; C 862/724.33; paired Δ med/mean -132/-59.67 (3 pairs)
  projectsStarted: B med/mean 43/51.33; C 34/47; paired Δ med/mean -10/-4.33 (3 pairs)
  projectsCompleted: B med/mean 19/23.67; C 25/29; paired Δ med/mean +3/+5.33 (3 pairs)
  projectsBlocked: B med/mean 23/26; C 14/16; paired Δ med/mean -9/-10 (3 pairs)
  projectPressureBasisProjects: B med/mean 43/51.33; C 34/47; paired Δ med/mean -10/-4.33 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 327/471.67; C 457/637; paired Δ med/mean +149/+165.33 (3 pairs)
  projectsWithPressureUpdates: B med/mean 39/45.67; C 30/42.33; paired Δ med/mean -6/-3.33 (3 pairs)
  projectPressureUpdates: B med/mean 284/420.33; C 427/590; paired Δ med/mean +143/+169.67 (3 pairs)
  projectPressureIncreases: B med/mean 58/50.67; C 89/118; paired Δ med/mean +31/+67.33 (3 pairs)
  projectPressureDecreases: B med/mean 82/81.33; C 129/161.67; paired Δ med/mean +47/+80.33 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 144/288.33; C 209/310.33; paired Δ med/mean +65/+22 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 10/15.67; C 0/5; paired Δ med/mean -10/-10.67 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 0/1.33; C 0/0; paired Δ med/mean 0/-1.33 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 3/3.67; C 5/3.67; paired Δ med/mean -3/0 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 1/1.33; C 19/26.67; paired Δ med/mean +18/+25.33 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEvidenceCount: B med/mean 678/781.67; C 633/832; paired Δ med/mean -55/+50.33 (3 pairs)
  projectProgressProjects: B med/mean 43/51.33; C 32/45.33; paired Δ med/mean -11/-6 (3 pairs)
  projectLogisticsAdvanceProgress: B med/mean 458/551.67; C 439/524.33; paired Δ med/mean -139/-27.33 (3 pairs)
  projectMaterialContributionProgress: B med/mean 220/230; C 265/307.67; paired Δ med/mean +84/+77.67 (3 pairs)
  projectProgressDuplicateEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressUnresolvedEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEpisodeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressIntentMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressNonAdvancingLogistics: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 23/25.33; C 11/13.67; paired Δ med/mean -12/-11.67 (3 pairs)
  projectSearchCampaigns: B med/mean 17/24; C 14/20.33; paired Δ med/mean -5/-3.67 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 17/23; C 12/16.67; paired Δ med/mean -8/-6.33 (3 pairs)
  searchCampaignActive: B med/mean 1/0.67; C 0/0.33; paired Δ med/mean -1/-0.33 (3 pairs)
  searchCampaignExhausted: B med/mean 13/18.67; C 5/8; paired Δ med/mean -9/-10.67 (3 pairs)
  searchCampaignSuperseded: B med/mean 0/0.33; C 2/2.67; paired Δ med/mean +2/+2.33 (3 pairs)
  searchCampaignClosed: B med/mean 4/4.33; C 6/9.33; paired Δ med/mean +2/+5 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 47/58; C 23/33.67; paired Δ med/mean -33/-24.33 (3 pairs)
  searchCampaignMaxTargets: B med/mean 4/4.33; C 3/3.33; paired Δ med/mean -1/-1 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignTargetOutsideArea: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 167/174.67; C 147/184.67; paired Δ med/mean +4/+10 (3 pairs)
  projectLogisticsFulfilled: B med/mean 149/154.67; C 137/170.67; paired Δ med/mean +14/+16 (3 pairs)
  projectLogisticsExhausted: B med/mean 12/16.33; C 5/7.33; paired Δ med/mean -9/-9 (3 pairs)
  projectSearchEpisodes: B med/mean 47/58; C 23/33.67; paired Δ med/mean -33/-24.33 (3 pairs)
  projectDropEpisodes: B med/mean 94/96; C 106/121.33; paired Δ med/mean +30/+25.33 (3 pairs)
  projectLogisticsActionEvents: B med/mean 563/655; C 520/662; paired Δ med/mean -93/+7 (3 pairs)
  jointProjectsCompleted: B med/mean 6/5.33; C 3/5; paired Δ med/mean +1/-0.33 (3 pairs)
  productionProjectsCompleted: B med/mean 7/10; C 14/15.33; paired Δ med/mean +6/+5.33 (3 pairs)
  constructionProjectsCompleted: B med/mean 12/13.67; C 11/13.67; paired Δ med/mean -3/0 (3 pairs)
  totalStructures: B med/mean 8/7.67; C 9/9.33; paired Δ med/mean +1/+1.67 (3 pairs)
  completedStructures: B med/mean 3/3.33; C 3/3; paired Δ med/mean +1/-0.33 (3 pairs)
  constructionPlacements: B med/mean 18/19.33; C 19/22; paired Δ med/mean +1/+2.67 (3 pairs)
  containersBuilt: B med/mean 2/2; C 3/3; paired Δ med/mean +1/+1 (3 pairs)
  standingContainers: B med/mean 2/2; C 3/3; paired Δ med/mean +1/+1 (3 pairs)
  containerTransfers: B med/mean 17/15; C 13/14; paired Δ med/mean -2/-1 (3 pairs)
  storedUnits: B med/mean 26/25.33; C 15/21.33; paired Δ med/mean -2/-4 (3 pairs)
  movementActions: B med/mean 2023/1874.33; C 2074/2403.33; paired Δ med/mean +565/+529 (3 pairs)
  movementActionShare: B med/mean 64.83/65.36; C 63.82/65.28; paired Δ med/mean -3.1/-0.09 (3 pairs)
  spearsCrafted: B med/mean 0/0.33; C 1/0.67; paired Δ med/mean 0/+0.33 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 1/0.67; C 1/1; paired Δ med/mean 0/+0.33 (3 pairs)
  recordsCreated: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  functionalInstitutions: B med/mean 5/4.67; C 5/6.33; paired Δ med/mean +2/+1.67 (3 pairs)
  animalsHunted: B med/mean 1/1; C 1/1; paired Δ med/mean 0/0 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 10/11; C 10/10.33; paired Δ med/mean 0/-0.67 (3 pairs)
  predictionAccuracy: B med/mean 40/47.56; C 20/19.8; paired Δ med/mean -40/-27.76 (3 pairs)
  dehydrationHibernations: B med/mean 12/12; C 17/16.67; paired Δ med/mean +5/+4.67 (3 pairs)
  assistedDependentHibernations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  throughMonth: B med/mean 120/120; C 120/120; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 6/6; C 7/7.67; paired Δ med/mean +1/+1.67 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
