Paired evolution matrix comparison
Baseline: review10-v9d-record-carrier-options-20260820 (3 runs)
Candidate: review10-v10b-public-record-reader-20260820 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

30 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 5/6.33; C 8/6.67; paired Δ med/mean -1/+0.33 (3 pairs)
  births: B med/mean 5/5.33; C 5/5.33; paired Δ med/mean 0/0 (3 pairs)
  reproductionOffers: B med/mean 38/32.33; C 25/25.67; paired Δ med/mean -6/-6.67 (3 pairs)
  reproductionAcceptances: B med/mean 15/14.67; C 11/13.33; paired Δ med/mean 0/-1.33 (3 pairs)
  reproductionAttempts: B med/mean 21/26.67; C 21/28.33; paired Δ med/mean 0/+1.67 (3 pairs)
  reproductionConceptions: B med/mean 5/5.33; C 5/5.33; paired Δ med/mean 0/0 (3 pairs)
  deaths: B med/mean 6/5.67; C 4/5.33; paired Δ med/mean 0/-0.33 (3 pairs)
  childDeaths: B med/mean 1/1; C 2/1.33; paired Δ med/mean 0/+0.33 (3 pairs)
  relationshipProposalOffers: B med/mean 116/113.33; C 120/113; paired Δ med/mean +3/-0.33 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 116/113; C 119/112; paired Δ med/mean +3/-1 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0.33; C 1/1; paired Δ med/mean 0/+0.67 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 27/26.67; C 28/26.67; paired Δ med/mean +1/0 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 10/9.67; C 9/9; paired Δ med/mean -1/-0.67 (3 pairs)
  childExposureDeaths: B med/mean 0/0.67; C 2/1.33; paired Δ med/mean 0/+0.67 (3 pairs)
  lifeReviewDecisions: B med/mean 1/1.33; C 2/5.33; paired Δ med/mean +1/+4 (3 pairs)
  projectLifeReviewDecisions: B med/mean 1/1.33; C 2/5.33; paired Δ med/mean +1/+4 (3 pairs)
  lifeReviewPersonMonths: B med/mean 1/1.33; C 2/5.33; paired Δ med/mean +1/+4 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 1/1.33; C 2/5.33; paired Δ med/mean +1/+4 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 608/755.33; C 1000/851; paired Δ med/mean +201/+95.67 (3 pairs)
  interruptLifeReviewChildren: B med/mean 1/1.33; C 2/5.33; paired Δ med/mean +1/+4 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 73/110; C 95/106; paired Δ med/mean -14/-4 (3 pairs)
  interruptFulfillmentChildren: B med/mean 2/4; C 8/6.33; paired Δ med/mean +2/+2.33 (3 pairs)
  interruptChildrenCompleted: B med/mean 556/660.33; C 860/760.67; paired Δ med/mean +294/+100.33 (3 pairs)
  interruptChildrenBlocked: B med/mean 61/95; C 83/90.33; paired Δ med/mean -13/-4.67 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 608/755.33; C 1000/851; paired Δ med/mean +201/+95.67 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0.01; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 1/1.33; C 1/1.67; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 439/478; C 554/520.67; paired Δ med/mean -64/+42.67 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 231/277.33; C 171/330.33; paired Δ med/mean -46/+53 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 1/3.33; paired Δ med/mean +1/+3.33 (3 pairs)
  completedActions: B med/mean 2692/2633.67; C 2393/2848.33; paired Δ med/mean -98/+214.67 (3 pairs)
  actionPersonMonths: B med/mean 1540/1565.67; C 1472/1651.33; paired Δ med/mean +8/+85.67 (3 pairs)
  projectActionPersonMonths: B med/mean 188/171.33; C 161/208.33; paired Δ med/mean -24/+37 (3 pairs)
  projectActionMonthShare: B med/mean 11.22/11.01; C 11.49/11.95; paired Δ med/mean -1.24/+0.94 (3 pairs)
  ruleDecisions: B med/mean 4401/4448.67; C 4895/4638.33; paired Δ med/mean +685/+189.67 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 29.2/25.89; C 27.94/24.75; paired Δ med/mean -1.8/-1.14 (3 pairs)
  strategicIntents: B med/mean 1219/1110; C 1354/1142.67; paired Δ med/mean +108/+32.67 (3 pairs)
  socialIntents: B med/mean 2956/3244.67; C 3397/3348.33; paired Δ med/mean +441/+103.67 (3 pairs)
  communications: B med/mean 878/951.33; C 981/996.33; paired Δ med/mean +89/+45 (3 pairs)
  survivalReflexActions: B med/mean 1095/1094; C 1054/1178.33; paired Δ med/mean -147/+84.33 (3 pairs)
  projectsStarted: B med/mean 48/48; C 48/51; paired Δ med/mean +1/+3 (3 pairs)
  projectsCompleted: B med/mean 24/23; C 22/26.33; paired Δ med/mean +2/+3.33 (3 pairs)
  projectsBlocked: B med/mean 24/24.33; C 22/22; paired Δ med/mean -2/-2.33 (3 pairs)
  projectPressureBasisProjects: B med/mean 48/48; C 48/51; paired Δ med/mean +1/+3 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 657/729.67; C 837/878.67; paired Δ med/mean -92/+149 (3 pairs)
  projectsWithPressureUpdates: B med/mean 39/42.33; C 43/43.33; paired Δ med/mean -4/+1 (3 pairs)
  projectPressureUpdates: B med/mean 609/681.67; C 789/827.67; paired Δ med/mean -85/+146 (3 pairs)
  projectPressureIncreases: B med/mean 114/113.67; C 129/134.33; paired Δ med/mean -10/+20.67 (3 pairs)
  projectPressureDecreases: B med/mean 146/147.67; C 165/169.33; paired Δ med/mean -18/+21.67 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 360/420.33; C 495/524; paired Δ med/mean -57/+103.67 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 8/7; C 1/3.67; paired Δ med/mean 0/-3.33 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 6/6; C 6/16; paired Δ med/mean 0/+10 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 36/40.67; C 23/21.67; paired Δ med/mean -13/-19 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEvidenceCount: B med/mean 1194/1030.33; C 1076/1376.33; paired Δ med/mean -46/+346 (3 pairs)
  projectProgressProjects: B med/mean 45/42.67; C 39/46.33; paired Δ med/mean +1/+3.67 (3 pairs)
  projectLogisticsAdvanceProgress: B med/mean 847/745.33; C 834/1085.67; paired Δ med/mean -33/+340.33 (3 pairs)
  projectMaterialContributionProgress: B med/mean 280/285; C 242/290.67; paired Δ med/mean -13/+5.67 (3 pairs)
  projectProgressDuplicateEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressUnresolvedEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEpisodeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressIntentMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressNonAdvancingLogistics: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 15/16; C 15/15.33; paired Δ med/mean -1/-0.67 (3 pairs)
  projectSearchCampaigns: B med/mean 16/14.33; C 10/13.67; paired Δ med/mean -3/-0.67 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 11/11.33; C 10/13; paired Δ med/mean -2/+1.67 (3 pairs)
  searchCampaignActive: B med/mean 0/0.33; C 1/1.67; paired Δ med/mean +1/+1.33 (3 pairs)
  searchCampaignExhausted: B med/mean 5/4; C 2/2.33; paired Δ med/mean 0/-1.67 (3 pairs)
  searchCampaignSuperseded: B med/mean 1/0.67; C 0/0.33; paired Δ med/mean 0/-0.33 (3 pairs)
  searchCampaignClosed: B med/mean 9/9.33; C 6/9.33; paired Δ med/mean -4/0 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 79/74; C 115/138; paired Δ med/mean -3/+64 (3 pairs)
  searchCampaignMaxTargets: B med/mean 47/40; C 47/43.67; paired Δ med/mean 0/+3.67 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
