Paired evolution matrix comparison
Baseline: review10-v9d-record-carrier-options-20260820 (3 runs)
Candidate: review10-v10c-public-record-reader-20260820 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

30 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 5/6.33; C 7/7.67; paired Δ med/mean +2/+1.33 (3 pairs)
  births: B med/mean 5/5.33; C 6/6; paired Δ med/mean +1/+0.67 (3 pairs)
  reproductionOffers: B med/mean 38/32.33; C 22/26.67; paired Δ med/mean -16/-5.67 (3 pairs)
  reproductionAcceptances: B med/mean 15/14.67; C 11/13.33; paired Δ med/mean -4/-1.33 (3 pairs)
  reproductionAttempts: B med/mean 21/26.67; C 21/26; paired Δ med/mean 0/-0.67 (3 pairs)
  reproductionConceptions: B med/mean 5/5.33; C 6/6; paired Δ med/mean +1/+0.67 (3 pairs)
  deaths: B med/mean 6/5.67; C 5/5; paired Δ med/mean -1/-0.67 (3 pairs)
  childDeaths: B med/mean 1/1; C 1/1; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffers: B med/mean 116/113.33; C 112/100.67; paired Δ med/mean -4/-12.67 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 116/113; C 112/100.67; paired Δ med/mean -4/-12.33 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 27/26.67; C 28/24; paired Δ med/mean +2/-2.67 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 10/9.67; C 7/6.33; paired Δ med/mean -3/-3.33 (3 pairs)
  childExposureDeaths: B med/mean 0/0.67; C 1/1; paired Δ med/mean +1/+0.33 (3 pairs)
  lifeReviewDecisions: B med/mean 1/1.33; C 1/2; paired Δ med/mean +1/+0.67 (3 pairs)
  projectLifeReviewDecisions: B med/mean 1/1.33; C 1/2; paired Δ med/mean +1/+0.67 (3 pairs)
  lifeReviewPersonMonths: B med/mean 1/1.33; C 1/2; paired Δ med/mean +1/+0.67 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 1/1.33; C 1/2; paired Δ med/mean +1/+0.67 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 608/755.33; C 739/687.67; paired Δ med/mean -183/-67.67 (3 pairs)
  interruptLifeReviewChildren: B med/mean 1/1.33; C 1/2; paired Δ med/mean +1/+0.67 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 73/110; C 93/86.67; paired Δ med/mean -43/-23.33 (3 pairs)
  interruptFulfillmentChildren: B med/mean 2/4; C 1/1.67; paired Δ med/mean -2/-2.33 (3 pairs)
  interruptChildrenCompleted: B med/mean 556/660.33; C 621/613.67; paired Δ med/mean -149/-46.67 (3 pairs)
  interruptChildrenBlocked: B med/mean 61/95; C 76/73.33; paired Δ med/mean -34/-21.67 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 1/0.67; paired Δ med/mean +1/+0.67 (3 pairs)
  interruptReturnsResumed: B med/mean 608/755.33; C 738/687.33; paired Δ med/mean -183/-68 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 1/1.33; C 2/1.33; paired Δ med/mean +1/0 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 439/478; C 376/374.33; paired Δ med/mean -210/-103.67 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 231/277.33; C 319/313; paired Δ med/mean +27/+35.67 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 2692/2633.67; C 3225/2932; paired Δ med/mean +734/+298.33 (3 pairs)
  actionPersonMonths: B med/mean 1540/1565.67; C 1933/1618.33; paired Δ med/mean +289/+52.67 (3 pairs)
  projectActionPersonMonths: B med/mean 188/171.33; C 275/290; paired Δ med/mean +87/+118.67 (3 pairs)
  projectActionMonthShare: B med/mean 11.22/11.01; C 14.38/17.17; paired Δ med/mean +6.07/+6.16 (3 pairs)
  ruleDecisions: B med/mean 4401/4448.67; C 4760/4319; paired Δ med/mean +618/-129.67 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 29.2/25.89; C 26.14/26.38; paired Δ med/mean -1.51/+0.49 (3 pairs)
  strategicIntents: B med/mean 1219/1110; C 1290/1129.33; paired Δ med/mean +71/+19.33 (3 pairs)
  socialIntents: B med/mean 2956/3244.67; C 3367/3164; paired Δ med/mean +523/-80.67 (3 pairs)
  communications: B med/mean 878/951.33; C 1074/943.33; paired Δ med/mean +205/-8 (3 pairs)
  survivalReflexActions: B med/mean 1095/1094; C 1105/1190.67; paired Δ med/mean +202/+96.67 (3 pairs)
  projectsStarted: B med/mean 48/48; C 69/60.67; paired Δ med/mean +14/+12.67 (3 pairs)
  projectsCompleted: B med/mean 24/23; C 32/30.67; paired Δ med/mean +6/+7.67 (3 pairs)
  projectsBlocked: B med/mean 24/24.33; C 30/26; paired Δ med/mean +4/+1.67 (3 pairs)
  projectPressureBasisProjects: B med/mean 48/48; C 69/60.67; paired Δ med/mean +14/+12.67 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 657/729.67; C 1247/1016.67; paired Δ med/mean +318/+287 (3 pairs)
  projectsWithPressureUpdates: B med/mean 39/42.33; C 62/50.33; paired Δ med/mean +12/+8 (3 pairs)
  projectPressureUpdates: B med/mean 609/681.67; C 1178/956; paired Δ med/mean +304/+274.33 (3 pairs)
  projectPressureIncreases: B med/mean 114/113.67; C 214/154; paired Δ med/mean +75/+40.33 (3 pairs)
  projectPressureDecreases: B med/mean 146/147.67; C 249/185; paired Δ med/mean +66/+37.33 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 360/420.33; C 715/617; paired Δ med/mean +163/+196.67 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 8/7; C 8/9.33; paired Δ med/mean +2/+2.33 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 6/6; C 16/17.33; paired Δ med/mean +10/+11.33 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 36/40.67; C 12/11.33; paired Δ med/mean -31/-29.33 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEvidenceCount: B med/mean 1194/1030.33; C 1381/1797.67; paired Δ med/mean +71/+767.33 (3 pairs)
  projectProgressProjects: B med/mean 45/42.67; C 62/55.33; paired Δ med/mean +16/+12.67 (3 pairs)
  projectLogisticsAdvanceProgress: B med/mean 847/745.33; C 1014/1455.33; paired Δ med/mean -16/+710 (3 pairs)
  projectMaterialContributionProgress: B med/mean 280/285; C 367/342.33; paired Δ med/mean +87/+57.33 (3 pairs)
  projectProgressDuplicateEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressUnresolvedEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEpisodeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressIntentMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressNonAdvancingLogistics: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 15/16; C 24/20; paired Δ med/mean +6/+4 (3 pairs)
  projectSearchCampaigns: B med/mean 16/14.33; C 21/19.67; paired Δ med/mean +5/+5.33 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 11/11.33; C 19/16.33; paired Δ med/mean +5/+5 (3 pairs)
  searchCampaignActive: B med/mean 0/0.33; C 4/3.33; paired Δ med/mean +3/+3 (3 pairs)
  searchCampaignExhausted: B med/mean 5/4; C 2/2.33; paired Δ med/mean -2/-1.67 (3 pairs)
  searchCampaignSuperseded: B med/mean 1/0.67; C 1/1; paired Δ med/mean 0/+0.33 (3 pairs)
  searchCampaignClosed: B med/mean 9/9.33; C 14/13; paired Δ med/mean +5/+3.67 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 79/74; C 76/177.67; paired Δ med/mean -7/+103.67 (3 pairs)
  searchCampaignMaxTargets: B med/mean 47/40; C 19/28; paired Δ med/mean -6/-12 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
