Paired evolution matrix comparison
Baseline: review10-v2b-life-stage-clock-20260820 (3 runs)
Candidate: review10-v3-current-month-protocol-20260820 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 9/8.33; C 10/10; paired Δ med/mean +1/+1.67 (3 pairs)
  births: B med/mean 2/1.67; C 3/3.33; paired Δ med/mean +1/+1.67 (3 pairs)
  reproductionOffers: B med/mean 24/20; C 13/18.33; paired Δ med/mean +1/-1.67 (3 pairs)
  reproductionAcceptances: B med/mean 10/9.33; C 8/9.33; paired Δ med/mean +1/0 (3 pairs)
  reproductionAttempts: B med/mean 13/11; C 15/15.33; paired Δ med/mean +3/+4.33 (3 pairs)
  reproductionConceptions: B med/mean 2/1.67; C 3/3.33; paired Δ med/mean +1/+1.67 (3 pairs)
  deaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  childDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffers: B med/mean 54/54.33; C 60/60; paired Δ med/mean +7/+5.67 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 54/54; C 60/59.67; paired Δ med/mean +8/+5.67 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 13/13.33; C 15/15.33; paired Δ med/mean +1/+2 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 5/5.67; C 5/5; paired Δ med/mean -1/-0.67 (3 pairs)
  childExposureDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewDecisions: B med/mean 1/1; C 4/3; paired Δ med/mean +2/+2 (3 pairs)
  projectLifeReviewDecisions: B med/mean 1/1; C 4/3; paired Δ med/mean +2/+2 (3 pairs)
  lifeReviewPersonMonths: B med/mean 1/1; C 4/3; paired Δ med/mean +2/+2 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 1/1; C 4/3; paired Δ med/mean +2/+2 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 97/108.67; C 377/304; paired Δ med/mean +222/+195.33 (3 pairs)
  interruptLifeReviewChildren: B med/mean 1/1; C 4/3; paired Δ med/mean +2/+2 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 10/12.33; C 2/11; paired Δ med/mean -5/-1.33 (3 pairs)
  interruptFulfillmentChildren: B med/mean 0/0.33; C 1/0.67; paired Δ med/mean +1/+0.33 (3 pairs)
  interruptChildrenCompleted: B med/mean 81/101; C 377/295; paired Δ med/mean +224/+194 (3 pairs)
  interruptChildrenBlocked: B med/mean 5/7.67; C 1/9; paired Δ med/mean -2/+1.33 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 97/108.67; C 377/304; paired Δ med/mean +222/+195.33 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
