Paired evolution matrix comparison
Baseline: review10-v6-complete-before-owner-loss-20260820 (3 runs)
Candidate: review10-v7-local-project-dedup-20260820 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 9/8.67; C 9/8.67; paired Δ med/mean 0/0 (3 pairs)
  births: B med/mean 3/2.33; C 2/2.33; paired Δ med/mean 0/0 (3 pairs)
  reproductionOffers: B med/mean 13/13; C 11/10.67; paired Δ med/mean -2/-2.33 (3 pairs)
  reproductionAcceptances: B med/mean 7/7.33; C 5/5.33; paired Δ med/mean -2/-2 (3 pairs)
  reproductionAttempts: B med/mean 18/17.33; C 9/10.33; paired Δ med/mean -7/-7 (3 pairs)
  reproductionConceptions: B med/mean 3/2.33; C 2/2.33; paired Δ med/mean 0/0 (3 pairs)
  deaths: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  childDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffers: B med/mean 54/48.67; C 49/51.33; paired Δ med/mean +3/+2.67 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 54/48.67; C 49/51.33; paired Δ med/mean +3/+2.67 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 13/12.33; C 13/14.67; paired Δ med/mean +3/+2.33 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 4/4.67; C 4/4.33; paired Δ med/mean 0/-0.33 (3 pairs)
  childExposureDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewDecisions: B med/mean 3/3; C 0/1.67; paired Δ med/mean -1/-1.33 (3 pairs)
  projectLifeReviewDecisions: B med/mean 3/3; C 0/1.67; paired Δ med/mean -1/-1.33 (3 pairs)
  lifeReviewPersonMonths: B med/mean 3/3; C 0/1.67; paired Δ med/mean -1/-1.33 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 3/3; C 0/1.67; paired Δ med/mean -1/-1.33 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 257/269.33; C 296/207.33; paired Δ med/mean -3/-62 (3 pairs)
  interruptLifeReviewChildren: B med/mean 3/3; C 0/1.67; paired Δ med/mean -1/-1.33 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 0/5; C 16/24.67; paired Δ med/mean +1/+19.67 (3 pairs)
  interruptFulfillmentChildren: B med/mean 1/2; C 1/1.33; paired Δ med/mean 0/-0.67 (3 pairs)
  interruptChildrenCompleted: B med/mean 243/264.67; C 245/186; paired Δ med/mean -3/-78.67 (3 pairs)
  interruptChildrenBlocked: B med/mean 0/4.33; C 13/21.33; paired Δ med/mean 0/+17 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  interruptReturnsResumed: B med/mean 257/269.33; C 296/207.33; paired Δ med/mean -3/-62 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 149/135; C 126/134.67; paired Δ med/mean -3/-0.33 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 108/134.33; C 32/72.67; paired Δ med/mean -76/-61.67 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 1264/1214; C 1094/1139.67; paired Δ med/mean -124/-74.33 (3 pairs)
  actionPersonMonths: B med/mean 621/622; C 608/600.33; paired Δ med/mean -11/-21.67 (3 pairs)
  projectActionPersonMonths: B med/mean 113/101; C 75/91.33; paired Δ med/mean +3/-9.67 (3 pairs)
  projectActionMonthShare: B med/mean 18.2/16.06; C 13.27/15.04; paired Δ med/mean +0.48/-1.02 (3 pairs)
  ruleDecisions: B med/mean 1514/1479.33; C 1635/1469.33; paired Δ med/mean -42/-10 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 32.75/26.79; C 20.82/19.88; paired Δ med/mean -3.77/-6.92 (3 pairs)
  strategicIntents: B med/mean 489/419; C 342/294.33; paired Δ med/mean -56/-124.67 (3 pairs)
  socialIntents: B med/mean 1014/1031; C 1061/1117.67; paired Δ med/mean +57/+86.67 (3 pairs)
  communications: B med/mean 338/334.33; C 352/349.67; paired Δ med/mean +40/+15.33 (3 pairs)
  survivalReflexActions: B med/mean 432/533; C 568/550.67; paired Δ med/mean -18/+17.67 (3 pairs)
  projectsStarted: B med/mean 36/31.33; C 24/22.67; paired Δ med/mean -9/-8.67 (3 pairs)
  projectsCompleted: B med/mean 19/15.33; C 15/13.67; paired Δ med/mean -2/-1.67 (3 pairs)
  projectsBlocked: B med/mean 12/12.67; C 8/7.67; paired Δ med/mean -4/-5 (3 pairs)
  projectPressureBasisProjects: B med/mean 36/31.33; C 24/22.67; paired Δ med/mean -9/-8.67 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 531/532.33; C 355/396; paired Δ med/mean -122/-136.33 (3 pairs)
  projectsWithPressureUpdates: B med/mean 32/28; C 20/19; paired Δ med/mean -11/-9 (3 pairs)
  projectPressureUpdates: B med/mean 495/501; C 331/373.33; paired Δ med/mean -117/-127.67 (3 pairs)
  projectPressureIncreases: B med/mean 92/80.67; C 61/66; paired Δ med/mean -24/-14.67 (3 pairs)
  projectPressureDecreases: B med/mean 122/109; C 76/86.33; paired Δ med/mean -34/-22.67 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 281/311.33; C 194/221; paired Δ med/mean -87/-90.33 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
