Paired evolution matrix comparison
Baseline: review10-v6-complete-before-owner-loss-20260820 (3 runs)
Candidate: review10-v7b-local-project-dedup-20260820 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 9/8.67; C 9/9; paired Δ med/mean 0/+0.33 (3 pairs)
  births: B med/mean 3/2.33; C 3/3; paired Δ med/mean +1/+0.67 (3 pairs)
  reproductionOffers: B med/mean 13/13; C 12/13.67; paired Δ med/mean +1/+0.67 (3 pairs)
  reproductionAcceptances: B med/mean 7/7.33; C 9/7.67; paired Δ med/mean 0/+0.33 (3 pairs)
  reproductionAttempts: B med/mean 18/17.33; C 15/13.33; paired Δ med/mean -6/-4 (3 pairs)
  reproductionConceptions: B med/mean 3/2.33; C 3/3; paired Δ med/mean +1/+0.67 (3 pairs)
  deaths: B med/mean 0/0.33; C 1/0.67; paired Δ med/mean 0/+0.33 (3 pairs)
  childDeaths: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  relationshipProposalOffers: B med/mean 54/48.67; C 50/53; paired Δ med/mean -4/+4.33 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 54/48.67; C 50/53; paired Δ med/mean -4/+4.33 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 13/12.33; C 13/14; paired Δ med/mean 0/+1.67 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 4/4.67; C 4/4.33; paired Δ med/mean 0/-0.33 (3 pairs)
  childExposureDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewDecisions: B med/mean 3/3; C 0/0.33; paired Δ med/mean -2/-2.67 (3 pairs)
  projectLifeReviewDecisions: B med/mean 3/3; C 0/0.33; paired Δ med/mean -2/-2.67 (3 pairs)
  lifeReviewPersonMonths: B med/mean 3/3; C 0/0.33; paired Δ med/mean -2/-2.67 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 3/3; C 0/0.33; paired Δ med/mean -2/-2.67 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 257/269.33; C 296/264; paired Δ med/mean -65/-5.33 (3 pairs)
  interruptLifeReviewChildren: B med/mean 3/3; C 0/0.33; paired Δ med/mean -2/-2.67 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 0/5; C 31/30; paired Δ med/mean +31/+25 (3 pairs)
  interruptFulfillmentChildren: B med/mean 1/2; C 2/1.67; paired Δ med/mean +1/-0.33 (3 pairs)
  interruptChildrenCompleted: B med/mean 243/264.67; C 245/238; paired Δ med/mean -51/-26.67 (3 pairs)
  interruptChildrenBlocked: B med/mean 0/4.33; C 27/26; paired Δ med/mean +27/+21.67 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  interruptReturnsResumed: B med/mean 257/269.33; C 296/264; paired Δ med/mean -65/-5.33 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
