Paired evolution matrix comparison
Baseline: review10-v6-complete-before-owner-loss-20260820 (3 runs)
Candidate: review10-v7e-local-project-dedup-20260820 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 9/8.67; C 9/9; paired Δ med/mean 0/+0.33 (3 pairs)
  births: B med/mean 3/2.33; C 2/2.67; paired Δ med/mean +1/+0.33 (3 pairs)
  reproductionOffers: B med/mean 13/13; C 14/16.67; paired Δ med/mean -1/+3.67 (3 pairs)
  reproductionAcceptances: B med/mean 7/7.33; C 9/8.33; paired Δ med/mean 0/+1 (3 pairs)
  reproductionAttempts: B med/mean 18/17.33; C 14/13; paired Δ med/mean -4/-4.33 (3 pairs)
  reproductionConceptions: B med/mean 3/2.33; C 2/2.67; paired Δ med/mean +1/+0.33 (3 pairs)
  deaths: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  childDeaths: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  relationshipProposalOffers: B med/mean 54/48.67; C 50/58.67; paired Δ med/mean +7/+10 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 54/48.67; C 50/58.67; paired Δ med/mean +7/+10 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 13/12.33; C 13/15.67; paired Δ med/mean +2/+3.33 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 4/4.67; C 5/5; paired Δ med/mean +1/+0.33 (3 pairs)
  childExposureDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewDecisions: B med/mean 3/3; C 2/1.33; paired Δ med/mean -1/-1.67 (3 pairs)
  projectLifeReviewDecisions: B med/mean 3/3; C 2/1.33; paired Δ med/mean -1/-1.67 (3 pairs)
  lifeReviewPersonMonths: B med/mean 3/3; C 2/1.33; paired Δ med/mean -1/-1.67 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 3/3; C 2/1.33; paired Δ med/mean -1/-1.67 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 257/269.33; C 240/233; paired Δ med/mean -17/-36.33 (3 pairs)
  interruptLifeReviewChildren: B med/mean 3/3; C 2/1.33; paired Δ med/mean -1/-1.67 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 0/5; C 16/17.33; paired Δ med/mean +5/+12.33 (3 pairs)
  interruptFulfillmentChildren: B med/mean 1/2; C 2/1.67; paired Δ med/mean +1/-0.33 (3 pairs)
  interruptChildrenCompleted: B med/mean 243/264.67; C 226/217.67; paired Δ med/mean -17/-47 (3 pairs)
  interruptChildrenBlocked: B med/mean 0/4.33; C 14/15.33; paired Δ med/mean +5/+11 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  interruptReturnsResumed: B med/mean 257/269.33; C 240/233; paired Δ med/mean -17/-36.33 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 149/135; C 155/137; paired Δ med/mean +43/+2 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 108/134.33; C 32/96; paired Δ med/mean -76/-38.33 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 1264/1214; C 1117/1116.67; paired Δ med/mean -132/-97.33 (3 pairs)
  actionPersonMonths: B med/mean 621/622; C 678/660.67; paired Δ med/mean +57/+38.67 (3 pairs)
  projectActionPersonMonths: B med/mean 113/101; C 65/80.33; paired Δ med/mean -42/-20.67 (3 pairs)
  projectActionMonthShare: B med/mean 18.2/16.06; C 9.59/12.42; paired Δ med/mean -5.76/-3.65 (3 pairs)
  ruleDecisions: B med/mean 1514/1479.33; C 1776/1838; paired Δ med/mean +517/+358.67 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 32.75/26.79; C 22/18.67; paired Δ med/mean -10.75/-8.13 (3 pairs)
  strategicIntents: B med/mean 489/419; C 313/325; paired Δ med/mean -176/-94 (3 pairs)
  socialIntents: B med/mean 1014/1031; C 1371/1501.67; paired Δ med/mean +357/+470.67 (3 pairs)
  communications: B med/mean 338/334.33; C 450/435; paired Δ med/mean +76/+100.67 (3 pairs)
  survivalReflexActions: B med/mean 432/533; C 389/407; paired Δ med/mean -43/-126 (3 pairs)
  projectsStarted: B med/mean 36/31.33; C 18/17.67; paired Δ med/mean -18/-13.67 (3 pairs)
  projectsCompleted: B med/mean 19/15.33; C 8/8; paired Δ med/mean -11/-7.33 (3 pairs)
