Paired evolution matrix comparison
Baseline: review10-v6-complete-before-owner-loss-20260820 (3 runs)
Candidate: review10-v7f-local-project-dedup-20260820 (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 9/8.67; C 9/9.33; paired Δ med/mean 0/+0.67 (3 pairs)
  births: B med/mean 3/2.33; C 3/3; paired Δ med/mean +1/+0.67 (3 pairs)
  reproductionOffers: B med/mean 13/13; C 19/18.67; paired Δ med/mean +2/+5.67 (3 pairs)
  reproductionAcceptances: B med/mean 7/7.33; C 9/8; paired Δ med/mean 0/+0.67 (3 pairs)
  reproductionAttempts: B med/mean 18/17.33; C 16/15; paired Δ med/mean -1/-2.33 (3 pairs)
  reproductionConceptions: B med/mean 3/2.33; C 3/3; paired Δ med/mean +1/+0.67 (3 pairs)
  deaths: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  childDeaths: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  relationshipProposalOffers: B med/mean 54/48.67; C 61/58.33; paired Δ med/mean +9/+9.67 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 54/48.67; C 61/58.33; paired Δ med/mean +9/+9.67 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 13/12.33; C 14/15; paired Δ med/mean +4/+2.67 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 4/4.67; C 5/5; paired Δ med/mean +1/+0.33 (3 pairs)
  childExposureDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewDecisions: B med/mean 3/3; C 0/0.67; paired Δ med/mean -1/-2.33 (3 pairs)
