Paired evolution matrix comparison
Baseline: review10-v8-accessible-capability-20260820 (3 runs)
Candidate: review10-v9-public-record-20260820 (6 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/3
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 10/10; C 9/9.33; paired Δ med/mean 0/-0.67 (3 pairs)
  births: B med/mean 3/3.33; C 3/2.67; paired Δ med/mean 0/-0.67 (3 pairs)
  reproductionOffers: B med/mean 17/17.67; C 16/17.67; paired Δ med/mean -1/0 (3 pairs)
  reproductionAcceptances: B med/mean 10/10; C 8/7.67; paired Δ med/mean -3/-2.33 (3 pairs)
  reproductionAttempts: B med/mean 17/16; C 16/15; paired Δ med/mean -4/-1 (3 pairs)
  reproductionConceptions: B med/mean 3/3.33; C 3/2.67; paired Δ med/mean 0/-0.67 (3 pairs)
  deaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  childDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffers: B med/mean 54/52; C 59/56.33; paired Δ med/mean -1/+4.33 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 54/52; C 58/56; paired Δ med/mean -1/+4 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 16/15.67; C 15/14.33; paired Δ med/mean -1/-1.33 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 4/4; C 5/5.67; paired Δ med/mean +2/+1.67 (3 pairs)
  childExposureDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewDecisions: B med/mean 1/1; C 1/1.33; paired Δ med/mean +1/+0.33 (3 pairs)
  projectLifeReviewDecisions: B med/mean 1/1; C 1/1.33; paired Δ med/mean +1/+0.33 (3 pairs)
  lifeReviewPersonMonths: B med/mean 1/1; C 1/1.33; paired Δ med/mean +1/+0.33 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 1/1; C 1/1.33; paired Δ med/mean +1/+0.33 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 140/195; C 137/182.33; paired Δ med/mean +43/-12.67 (3 pairs)
  interruptLifeReviewChildren: B med/mean 1/1; C 1/1.33; paired Δ med/mean +1/+0.33 (3 pairs)
