Paired evolution matrix comparison
Baseline: review10-v8-accessible-capability-30y-20260820 (3 runs)
Candidate: review10-v9-public-record-20260820 (6 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/3
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

30 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 7/7.33; C 5/6; paired Δ med/mean -3/-1.33 (3 pairs)
  births: B med/mean 5/5.33; C 5/5; paired Δ med/mean -1/-0.33 (3 pairs)
  reproductionOffers: B med/mean 30/35.33; C 33/30.33; paired Δ med/mean -10/-5 (3 pairs)
  reproductionAcceptances: B med/mean 16/17.67; C 11/12.67; paired Δ med/mean -5/-5 (3 pairs)
  reproductionAttempts: B med/mean 28/30.67; C 21/26.33; paired Δ med/mean -5/-4.33 (3 pairs)
  reproductionConceptions: B med/mean 5/5.33; C 5/5; paired Δ med/mean -1/-0.33 (3 pairs)
  deaths: B med/mean 5/4.67; C 6/5.67; paired Δ med/mean +2/+1 (3 pairs)
  childDeaths: B med/mean 1/1; C 1/1; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffers: B med/mean 113/109.33; C 116/110.67; paired Δ med/mean -16/+1.33 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 113/109.33; C 116/110.33; paired Δ med/mean -16/+1 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 24/25; C 27/25.67; paired Δ med/mean -3/+0.67 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 8/8; C 10/9.33; paired Δ med/mean +2/+1.33 (3 pairs)
  childExposureDeaths: B med/mean 1/1; C 0/0.67; paired Δ med/mean -1/-0.33 (3 pairs)
  lifeReviewDecisions: B med/mean 1/1.33; C 1/1.33; paired Δ med/mean +1/0 (3 pairs)
  projectLifeReviewDecisions: B med/mean 1/1.33; C 1/1.33; paired Δ med/mean +1/0 (3 pairs)
  lifeReviewPersonMonths: B med/mean 1/1.33; C 1/1.33; paired Δ med/mean +1/0 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 1/1.33; C 1/1.33; paired Δ med/mean +1/0 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 532/532.67; C 604/730.67; paired Δ med/mean +90/+198 (3 pairs)
  interruptLifeReviewChildren: B med/mean 1/1.33; C 1/1.33; paired Δ med/mean +1/0 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 14/16.33; C 74/110.33; paired Δ med/mean +60/+94 (3 pairs)
  interruptFulfillmentChildren: B med/mean 1/0.67; C 2/4; paired Δ med/mean +1/+3.33 (3 pairs)
  interruptChildrenCompleted: B med/mean 505/519.33; C 556/635.67; paired Δ med/mean +51/+116.33 (3 pairs)
  interruptChildrenBlocked: B med/mean 13/13.33; C 61/95; paired Δ med/mean +48/+81.67 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
