Paired evolution matrix comparison
Baseline: cand-private-food-floor-v16 (9 runs)
Candidate: cand-production-tool-upgrade-v17 (9 runs)
Matched by seed+years+repeat: 9; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 7/7.33; C 6/6.33; paired Δ med/mean -1/-1 (3 pairs)
  births: B med/mean 2/2; C 2/1.67; paired Δ med/mean 0/-0.33 (3 pairs)
  reproductionOffers: B med/mean 7/11.33; C 11/14.67; paired Δ med/mean +5/+3.33 (3 pairs)
  reproductionAcceptances: B med/mean 6/7; C 7/8.33; paired Δ med/mean +3/+1.33 (3 pairs)
  reproductionAttempts: B med/mean 6/8; C 10/10.67; paired Δ med/mean +5/+2.67 (3 pairs)
  reproductionConceptions: B med/mean 2/2; C 2/1.67; paired Δ med/mean 0/-0.33 (3 pairs)
  deaths: B med/mean 2/1.33; C 2/2; paired Δ med/mean 0/+0.67 (3 pairs)
  childDeaths: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  relationshipProposalOffers: B med/mean 49/48; C 52/53.33; paired Δ med/mean +3/+5.33 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 49/48; C 52/53; paired Δ med/mean +3/+5 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 12/12.33; C 11/11.67; paired Δ med/mean -1/-0.67 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 4/3.33; C 4/4.33; paired Δ med/mean +1/+1 (3 pairs)
  childExposureDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewDecisions: B med/mean 0/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  projectLifeReviewDecisions: B med/mean 0/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  lifeReviewPersonMonths: B med/mean 0/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 0/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 96/367.33; C 15/407.67; paired Δ med/mean -11/+40.33 (3 pairs)
  interruptLifeReviewChildren: B med/mean 0/1; C 0/0.33; paired Δ med/mean 0/-0.67 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 4/12.67; C 3/5.33; paired Δ med/mean -2/-7.33 (3 pairs)
  interruptFulfillmentChildren: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenCompleted: B med/mean 67/356.33; C 14/404.33; paired Δ med/mean -9/+48 (3 pairs)
  interruptChildrenBlocked: B med/mean 3/11; C 2/3; paired Δ med/mean -2/-8 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 96/367.33; C 15/407.67; paired Δ med/mean -11/+40.33 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 96/237; C 15/260.67; paired Δ med/mean +5/+23.67 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 16/130.33; C 0/147; paired Δ med/mean 0/+16.67 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/1.33; paired Δ med/mean 0/+1.33 (3 pairs)
  completedActions: B med/mean 983/954.67; C 955/1161.67; paired Δ med/mean +124/+207 (3 pairs)
  actionPersonMonths: B med/mean 517/539; C 597/597.33; paired Δ med/mean +53/+58.33 (3 pairs)
  projectActionPersonMonths: B med/mean 46/63; C 29/83; paired Δ med/mean -14/+20 (3 pairs)
  projectActionMonthShare: B med/mean 8.51/11.86; C 5.2/13.33; paired Δ med/mean -3.31/+1.47 (3 pairs)
  ruleDecisions: B med/mean 1627/1572; C 1298/1606.33; paired Δ med/mean +156/+34.33 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 12.01/29.35; C 6.78/26.25; paired Δ med/mean -5.17/-3.09 (3 pairs)
  strategicIntents: B med/mean 168/473; C 83/494.67; paired Δ med/mean -39/+21.67 (3 pairs)
  socialIntents: B med/mean 931/928.33; C 1018/974.67; paired Δ med/mean +74/+46.33 (3 pairs)
  communications: B med/mean 402/358; C 417/416; paired Δ med/mean +78/+58 (3 pairs)
  survivalReflexActions: B med/mean 456/488.67; C 564/612.33; paired Δ med/mean +116/+123.67 (3 pairs)
  projectsStarted: B med/mean 22/23; C 16/21.67; paired Δ med/mean -6/-1.33 (3 pairs)
  projectsCompleted: B med/mean 12/13.67; C 7/10.33; paired Δ med/mean -4/-3.33 (3 pairs)
  projectsBlocked: B med/mean 8/8.67; C 8/9.33; paired Δ med/mean -2/+0.67 (3 pairs)
  projectPressureBasisProjects: B med/mean 22/23; C 16/21.67; paired Δ med/mean -6/-1.33 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 208/280.67; C 198/465.67; paired Δ med/mean +18/+185 (3 pairs)
  projectsWithPressureUpdates: B med/mean 22/22.33; C 16/21; paired Δ med/mean -5/-1.33 (3 pairs)
  projectPressureUpdates: B med/mean 191/257.67; C 182/444; paired Δ med/mean +24/+186.33 (3 pairs)
  projectPressureIncreases: B med/mean 39/32.33; C 37/86; paired Δ med/mean +13/+53.67 (3 pairs)
  projectPressureDecreases: B med/mean 42/45.67; C 48/100.33; paired Δ med/mean +6/+54.67 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 113/179.67; C 104/257.67; paired Δ med/mean +5/+78 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 11/11.33; C 12/17.33; paired Δ med/mean -1/+6 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 8/5.33; C 2/2.33; paired Δ med/mean -3/-3 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 10/13.67; C 18/20.67; paired Δ med/mean +8/+7 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEvidenceCount: B med/mean 268/414; C 215/611; paired Δ med/mean -18/+197 (3 pairs)
  projectProgressProjects: B med/mean 17/20.33; C 15/20; paired Δ med/mean -2/-0.33 (3 pairs)
  projectLogisticsAdvanceProgress: B med/mean 162/289.33; C 132/490.67; paired Δ med/mean -7/+201.33 (3 pairs)
  projectMaterialContributionProgress: B med/mean 106/124.67; C 83/120.33; paired Δ med/mean -11/-4.33 (3 pairs)
  projectProgressDuplicateEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressUnresolvedEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEpisodeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressIntentMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressNonAdvancingLogistics: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
