Paired evolution matrix comparison
Baseline: cand-private-food-floor-v16 (9 runs)
Candidate: cand-production-tool-tier-v18 (9 runs)
Matched by seed+years+repeat: 9; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 7/7.33; C 7/8; paired Δ med/mean +1/+0.67 (3 pairs)
  births: B med/mean 2/2; C 2/2.33; paired Δ med/mean 0/+0.33 (3 pairs)
  reproductionOffers: B med/mean 7/11.33; C 20/20.67; paired Δ med/mean +9/+9.33 (3 pairs)
  reproductionAcceptances: B med/mean 6/7; C 15/13.33; paired Δ med/mean +7/+6.33 (3 pairs)
  reproductionAttempts: B med/mean 6/8; C 22/16.67; paired Δ med/mean +6/+8.67 (3 pairs)
  reproductionConceptions: B med/mean 2/2; C 2/2.33; paired Δ med/mean 0/+0.33 (3 pairs)
  deaths: B med/mean 2/1.33; C 1/1; paired Δ med/mean 0/-0.33 (3 pairs)
  childDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffers: B med/mean 49/48; C 54/59; paired Δ med/mean +11/+11 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 49/48; C 54/59; paired Δ med/mean +11/+11 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 12/12.33; C 15/16.33; paired Δ med/mean +5/+4 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 4/3.33; C 4/4.67; paired Δ med/mean +2/+1.33 (3 pairs)
  childExposureDeaths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewDecisions: B med/mean 0/1; C 0/1; paired Δ med/mean 0/0 (3 pairs)
  projectLifeReviewDecisions: B med/mean 0/1; C 0/1; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewPersonMonths: B med/mean 0/1; C 0/1; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 0/1; C 0/1; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 96/367.33; C 67/342.33; paired Δ med/mean -29/-25 (3 pairs)
  interruptLifeReviewChildren: B med/mean 0/1; C 0/1; paired Δ med/mean 0/0 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 4/12.67; C 4/4; paired Δ med/mean 0/-8.67 (3 pairs)
  interruptFulfillmentChildren: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenCompleted: B med/mean 67/356.33; C 65/340; paired Δ med/mean -2/-16.33 (3 pairs)
  interruptChildrenBlocked: B med/mean 3/11; C 2/2.33; paired Δ med/mean 0/-8.67 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 96/367.33; C 67/342.33; paired Δ med/mean -29/-25 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
