Paired evolution matrix comparison
Baseline: v32-imitation-commitment-20260816a (3 runs)
Candidate: v33-founder-reproduction (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 9/8; C 8/8.67; paired Δ med/mean +2/+0.67 (3 pairs)
  births: B med/mean 2/1.67; C 4/4; paired Δ med/mean +2/+2.33 (3 pairs)
  reproductionOffers: B med/mean 4/3.67; C 11/10.67; paired Δ med/mean +8/+7 (3 pairs)
  reproductionAcceptances: B med/mean 4/2.67; C 8/7; paired Δ med/mean +4/+4.33 (3 pairs)
  reproductionAttempts: B med/mean 20/14; C 26/24.33; paired Δ med/mean +8/+10.33 (3 pairs)
  reproductionConceptions: B med/mean 2/1.67; C 4/4; paired Δ med/mean +2/+2.33 (3 pairs)
  deaths: B med/mean 0/0.33; C 1/2; paired Δ med/mean 0/+1.67 (3 pairs)
  childDeaths: B med/mean 0/0; C 0/1; paired Δ med/mean 0/+1 (3 pairs)
  relationshipProposalOffers: B med/mean 4/4.33; C 11/11; paired Δ med/mean +7/+6.67 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 4/4.33; C 11/11; paired Δ med/mean +7/+6.67 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 0/0.33; C 2/2.33; paired Δ med/mean +2/+2 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 1/1.67; C 3/2.67; paired Δ med/mean +1/+1 (3 pairs)
  childExposureDeaths: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  lifeReviewDecisions: B med/mean 1/0.67; C 1/1; paired Δ med/mean 0/+0.33 (3 pairs)
  projectLifeReviewDecisions: B med/mean 1/0.67; C 1/1; paired Δ med/mean 0/+0.33 (3 pairs)
  lifeReviewPersonMonths: B med/mean 1/0.67; C 1/1; paired Δ med/mean 0/+0.33 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 1/0.67; C 1/1; paired Δ med/mean 0/+0.33 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 1/0.67; C 2/1.33; paired Δ med/mean +1/+0.67 (3 pairs)
  interruptLifeReviewChildren: B med/mean 1/0.67; C 1/1; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptFulfillmentChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenCompleted: B med/mean 1/0.67; C 2/1.33; paired Δ med/mean +1/+0.67 (3 pairs)
  interruptChildrenBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 1/0.67; C 2/1.33; paired Δ med/mean +1/+0.67 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
