Paired evolution matrix comparison
Baseline: v32-founder-repro-baseline (3 runs)
Candidate: v33-founder-reproduction-long (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

20 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 11/9.67; C 8/8.67; paired Δ med/mean -1/-1 (3 pairs)
  births: B med/mean 5/3.67; C 9/7.67; paired Δ med/mean +4/+4 (3 pairs)
  reproductionOffers: B med/mean 8/8.33; C 17/20; paired Δ med/mean +10/+11.67 (3 pairs)
  reproductionAcceptances: B med/mean 8/6.33; C 16/14.67; paired Δ med/mean +7/+8.33 (3 pairs)
  reproductionAttempts: B med/mean 37/43.33; C 75/63; paired Δ med/mean +38/+19.67 (3 pairs)
  reproductionConceptions: B med/mean 5/3.67; C 9/8; paired Δ med/mean +4/+4.33 (3 pairs)
  deaths: B med/mean 1/0.67; C 5/5.67; paired Δ med/mean +5/+5 (3 pairs)
  childDeaths: B med/mean 0/0.33; C 3/3.67; paired Δ med/mean +3/+3.33 (3 pairs)
  relationshipProposalOffers: B med/mean 9/9.33; C 17/20.33; paired Δ med/mean +9/+11 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 9/9.33; C 17/20.33; paired Δ med/mean +9/+11 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 1/1.67; C 5/5.33; paired Δ med/mean +4/+3.67 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 2/3; C 4/3.67; paired Δ med/mean +1/+0.67 (3 pairs)
  childExposureDeaths: B med/mean 0/0; C 1/3; paired Δ med/mean +1/+3 (3 pairs)
  lifeReviewDecisions: B med/mean 1/1.67; C 1/1; paired Δ med/mean -1/-0.67 (3 pairs)
  projectLifeReviewDecisions: B med/mean 1/1.67; C 1/1; paired Δ med/mean -1/-0.67 (3 pairs)
  lifeReviewPersonMonths: B med/mean 1/1.67; C 1/1; paired Δ med/mean -1/-0.67 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 1/1.67; C 1/1; paired Δ med/mean -1/-0.67 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 1/1.67; C 2/1.33; paired Δ med/mean -1/-0.33 (3 pairs)
  interruptLifeReviewChildren: B med/mean 1/1.67; C 1/1; paired Δ med/mean -1/-0.67 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptFulfillmentChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenCompleted: B med/mean 1/1.67; C 2/1.33; paired Δ med/mean -1/-0.33 (3 pairs)
  interruptChildrenBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 1/1.67; C 2/1.33; paired Δ med/mean -1/-0.33 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 1/1.67; C 1/1; paired Δ med/mean -1/-0.67 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 1023/1122; C 1039/1011; paired Δ med/mean -106/-111 (3 pairs)
  actionPersonMonths: B med/mean 501/550; C 486/463.67; paired Δ med/mean -51/-86.33 (3 pairs)
  projectActionPersonMonths: B med/mean 78/75; C 56/56.33; paired Δ med/mean -17/-18.67 (3 pairs)
  projectActionMonthShare: B med/mean 11.58/14.15; C 12.1/12.2; paired Δ med/mean -0.06/-1.96 (3 pairs)
  ruleDecisions: B med/mean 656/751; C 623/617.33; paired Δ med/mean -82/-133.67 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 86.45/86.7; C 81.01/82.9; paired Δ med/mean -6.14/-3.8 (3 pairs)
  strategicIntents: B med/mean 581/651; C 517/511.67; paired Δ med/mean -116/-139.33 (3 pairs)
  socialIntents: B med/mean 93/100; C 109/105.67; paired Δ med/mean +34/+5.67 (3 pairs)
  communications: B med/mean 81/78; C 93/93.33; paired Δ med/mean +28/+15.33 (3 pairs)
