Paired evolution matrix comparison
Baseline: v33-founder-reproduction-long (3 runs)
Candidate: v34-direct-teaching (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

20 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 8/8.67; C 7/8.33; paired Δ med/mean -1/-0.33 (3 pairs)
  births: B med/mean 9/7.67; C 6/6; paired Δ med/mean -1/-1.67 (3 pairs)
  reproductionOffers: B med/mean 17/20; C 18/21; paired Δ med/mean +1/+1 (3 pairs)
  reproductionAcceptances: B med/mean 16/14.67; C 12/13.67; paired Δ med/mean -1/-1 (3 pairs)
  reproductionAttempts: B med/mean 75/63; C 65/71; paired Δ med/mean -10/+8 (3 pairs)
  reproductionConceptions: B med/mean 9/8; C 6/6.67; paired Δ med/mean -1/-1.33 (3 pairs)
  deaths: B med/mean 5/5.67; C 4/4.33; paired Δ med/mean 0/-1.33 (3 pairs)
  childDeaths: B med/mean 3/3.67; C 3/3; paired Δ med/mean 0/-0.67 (3 pairs)
  relationshipProposalOffers: B med/mean 17/20.33; C 19/22; paired Δ med/mean +2/+1.67 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 17/20.33; C 19/22; paired Δ med/mean +2/+1.67 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 5/5.33; C 5/5.67; paired Δ med/mean 0/+0.33 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 4/3.67; C 4/4; paired Δ med/mean 0/+0.33 (3 pairs)
  childExposureDeaths: B med/mean 1/3; C 3/2.33; paired Δ med/mean 0/-0.67 (3 pairs)
  lifeReviewDecisions: B med/mean 1/1; C 5/4.33; paired Δ med/mean +3/+3.33 (3 pairs)
  projectLifeReviewDecisions: B med/mean 1/1; C 5/4.33; paired Δ med/mean +3/+3.33 (3 pairs)
  lifeReviewPersonMonths: B med/mean 1/1; C 5/4.33; paired Δ med/mean +3/+3.33 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
